Question,Réponse,URL
Puis-je accéder à mon parking durant les Jeux ?,"Si votre parking se situe dans un périmètre rouge, vous devrez vous munir d'un laissez-passer sous forme de QR code. Pour l’obtenir, vous devrez vous enregistrer sur la plateforme de la préfecture de Police (disponible en mai). S'il s'agit d'un parking collectif, vous devrez vous munir des justificatifs suivants : pièce d'identité, justificatif de domicile et justificatif de localisation du garage. S'il s'agit d'un parking privé, vous devrez vous munir des justificatifs suivants : pièce d'identité, carte grise du véhicule, justificatif de domicile et justificatif de localisation du garage. S'il s'agit d'un abonnement résidentiel dans la zone concerné, vous devrez vous munir des justificatifs suivants : pièce d'identité, carte grise du véhicule, justificatif de domicile et justificatif de l'abonnement résidentiel. Pour savoir si vous êtes concerné, consultez notre carte interactive : indiquez l'adresse de départ, l'adresse d'arrivée, le jour et l'heure de vos déplacements : Je consulte la carte",https://anticiperlesjeux.gouv.fr/faq
Quelles sont les livraisons autorisées dans les périmètres rouges et bleus ?,"Les livraisons autorisées dans les périmètres rouges et bleus sont les suivantes :Catégorie de livreursAccès au périmètre bleuAccès au périmètre rougeJustificatifs nécessaires pour le laissez-passer numérique en zone rougeVéhicules assurant le portage de repas pour personne vulnérable (préparés ou issu de la restauration) et de courses alimentaires et domestiquesOuiOuiTitre d’identité et carte professionnelle ou attestation employeur justifiant la missionVéhicules assurant le portage de repas (préparés ou issus de la restauration) et de courses alimentaires et domestiquesOuiNonNon concernéVéhicules de livraisons nécessaires pour le réapprovisionnement d’établissements d’activité professionnelle (commerciaux, médicaux, etc.)OuiOui selon créneaux autorisésAttestation employeur + certification d’immatriculation + titre d’identité + justificatif de livraisonVéhicules de transport de fonds ou de valeursOuiOui selon créneaux autoriséspour équipage : titre d’identité + attestation employeur + justificatif de missionVéhicules de transport de matières dangereuses (hors première nécessité)NonNonNon concernéVéhicules de transport de matières dangereuses de première nécessité (02, CO2, Azote liquide, acétylène…) à livrer sur site ou à évacuer du site sans urgenceOuiOui selon créneaux autorisésTitre d’identité, justificatif employeur et justificatif lieu de livraisonVéhicules de transport de matières dangereuses de première nécessité (02, CO2, Azote liquide, acétylène…) à livrer sur site ou à évacuer du site en urgenceOuiOuiAucun justificatif nécessaire (accès possible sans laissez-passer)Véhicules pour l’approvisionnement des marchésOuiOui selon créneaux autorisésTitre d’identité et carte professionnelleVéhicules pour le transport d’œuvres d’art pour muséesOuiOui au cas par cas selon créneaux autorisésTitre d’identité des équipiers, attestation employeur, attestation musée et justificatif du lieu de déménagementVéhicules de livraison chantier entités publiquesOuiNon, sauf travaux dûment autorisés durant la période, en application de la doctrineJustificatif d’identité des équipes, justificatif adresse du chantier, copie carte grise véhiculeVéhicules de livraison chantier particuliersOuiNon, sauf travaux dûment autorisés durant la période en application de la doctrineDépose uniquement des personnels et matériaux - justificatif d’identité des équipes, justificatif adresse du chantier, copie carte grise du véhiculeLivreurs à pied, à vélo, en trottinettes ou à vélos cargoOuiOuiAucun justificatif nécessaire (accès possible sans laissez-passer) mais contrôle par les forces de l'ordre aux entrées du périmètre",https://anticiperlesjeux.gouv.fr/faq
Quand seront activées les voies olympiques ?,"Les voies olympiques seront activées sur les différents axes routiers à partir du 15 juillet de la façon suivante : A1 entre Roissy Charles de Gaulle et la Porte de la Chapelle jusqu'au 11 septembre A4 entre Collégien et la porte de Bercy jusqu'au 13 août puis du 30 août au 8 septembre A12 entre Rocquencourt et Montigny le Bretonneux jusqu'au 13 août puis du 27 août au 8 septembre A13 entre la porte Maillot et Rocquencourt jusqu'au 13 août puis du 27 août au 8 septembre Le boulevard périphérique, de la Porte de Vanves à la Porte de Bercy, en passant par le nord jusqu'au 13 août puis du 22 août au 11 septembre Le boulevard circulaire (La Défense) jusqu'au 13 août puis du 22 août au 11 septembre Certains axes parisiens En savoir plus sur les voies olympiques : cliquez ici.",https://anticiperlesjeux.gouv.fr/faq
"Je suis PMR, comment puis-je me déplacer avec mon véhicule ?","Les personnes à mobilité réduite peuvent circuler et stationner dans les différents périmètres de sécurité. Dans les périmètres rouges, vous devrez vous enregistrer sur la plateforme de la préfecture de Police (disponible en mai) pour obtenir un laissez-passer, en fournissant les justificatifs suivants : titre d'identité + carte grise du véhicule + justification de la mission + CM ou carte européenne handicap. Dans les périmètres bleus, vous n’aurez pas à vous enregistrer sur la plateforme, simplement à présenter votre CM ou carte européenne handicap en cas de contrôle par les forces de l’ordre. À noter : la cérémonie d'ouverture des Jeux Olympiques aura lieu le vendredi 26 juillet, les routes et les transports en commun seront très impactés en amont et le Jour J. Les premières informations concernant cet événement sont disponibles sur notre site internet : cliquez ici.Les épreuves sur route et leurs préparations auront aussi de forts impacts sur vos déplacements routiers. Ce sera notamment le cas les week-ends des : 27/07, 03/08 et 10/08 avec les épreuves de cyclisme et le marathon, retrouvez toutes les informations sur notre carte des impacts et sur la page consacréeRecevez toutes les informations mises à jour en vous inscrivant à nos alertes infos : je m'inscris.",https://anticiperlesjeux.gouv.fr/faq
Quels ponts resteront traversants le jour de la cérémonie d'ouverture ?,"Le jour de la cérémonie d'ouverture des Jeux Olympiques, vendredi 26 juillet 2024, 3 ponts parisiens seront traversant, les autres ne seront pas praticables : Pont de Sully Pont de Notre-Dame Pont des Invalides Passerelle en piéton Sédar Senghor De nouvelles informations seront très prochainement publiées sur notre site internet, pour rester informé, inscrivez-vous à nos alertes infos : cliquez ici.",https://anticiperlesjeux.gouv.fr/faq
Quels seront les ponts fermés pour la cérémonie d'ouverture ?,"Dans le cadre du montage de cérémonie d'ouverture, les ponts de la Seine à Paris seront progressivement fermés à la circulation : à compter du 1er juillet : Pont d'Iéna (pour moitié) et Pont du Carrousel ; à compter du 8 juillet : Pont de l'Alma, Pont de la Tournelle et Pont au Change ; à compter du 15 juillet : Pont-Royal, Pont d'Arcole et Pont de la Concorde. 7 pont supplémentaires seront fermés plusieurs jours avant la cérémonie d'ouverture du 26 juillet : Pont d'Austerlitz Pont Saint-Louis Pont Neuf Ponts des Arts Pont Alexandre III Le jour J, vous aurez 4 possibilités de passer d'une rive à l'autre : Pont de Sully Pont de Notre-Dame Pont des Invalides Passerelle en piéton Sédar Senghor Tous les autres ponts ne seront pas traversants. De nouvelles informations seront très prochainement publiées sur la page consacrée, pour rester informé, inscrivez-vous à nos alertes infos : https://anticiperlesjeux.gouv.fr/inscriptions-alertes-infos",https://anticiperlesjeux.gouv.fr/faq
Quels seront les impacts sur les déplacements pour la cérémonie d'ouverture des Jeux Olympiques du 26 juillet 2024 ?,"Vendredi 26 juillet 2024 de 19h30 à 23h, se tiendra la cérémonie d'ouverture des Jeux Olympiques de Paris 2024. Cet événement se déroulera sur la Seine entre le Pont d'Austerlitz et le Pont d'Iéna. De forts impacts sur vos déplacements sur les routes et dans les transports en commun sont à prévoir plusieurs jours avant l'événement et le Jour J. Retrouvez ici les premières informations pour anticiper dès maintenant, tous les détails seront communiqués très prochainement.",https://anticiperlesjeux.gouv.fr/faq
Où faire une demande de laissez-passer sous forme de QR pour accéder à un périmètre rouge ?,"Seules les personnes autorisées à accéder à un périmètre rouge pourront obtenir un laissez-passer sous forme de QR code. Pour savoir si vous êtes concerné, consultez dans un premier temps le tableau des personnes autorisées établit par la Préfecture de Police de Paris, cliquez ici. Si vous faites partie des personnes autorisées, vous pourrez faire une demande de laissez-passer sur la plateforme numérique disponible en mai, en fournissant les justificatifs précisés dans le même tableau.A noter : concernant la cérémonie d'ouverture, le périmètre spécifique et ses modalités d'accès seront communiqués très prochainement sur la page consacrée.",https://anticiperlesjeux.gouv.fr/faq
Quelles seront les gares parisiennes impactées pendant les Jeux ?,"Durant toutes la période des Jeux Olympiques et Jeux Paralympiques, les accès aux gares parisiennes seront impactés par de fortes affluences attendues dans les transports en commun et des restrictions de circulation sur la route liées aux périmètres de sécurité.Par ailleurs, la gare de Lyon sera très impactée, étant à proximité du site olympique de Paris Bercy où se tiendront les épreuves de gymnastique artistique, trampoline, le basketball et pendant les jeux paralympiques du basket fauteuil et dans le périmètre temporaire de la cérémonie d'ouverture le 26 juillet.Pour se rendre dans une gare parisienne en transports en commun, pensez à consulter en amont l'application Ile-de-France Mobilités à partir de fin avril pour trouver l'itinéraire le plus adapté depuis votre point de départ. Si vous souhaitez vous y rendre en voiture, nous vous recommandons dans le mesure du possible, d'éviter le jour de la cérémonie d'ouverture le 26 juillet.Pour les autres périodes, nous vous invitons à consulter la carte interactive sur l’onglet ""routes"", pour visualiser l’ensemble des dates et des heures d'activation des périmètres. L'accès sera interdit 2h30 avant le début de la première compétition et sera levé 1h après la dernière compétition.Si vous devez voyager le jour où un périmètre rouge est activé, l'accès en voiture sera interdit sauf en taxi, autorisé à pénétrer dans la zone. Il est également à noter que la cérémonie d'ouverture des Jeux Olympiques aura lieu le 26 juillet, les routes et les transports en commun seront très impactés en amont et le Jour J. Toutes les informations concernant cet événement seront prochainement disponibles sur notre site internet, restez informé en vous inscrivant à nos alertes infos : cliquez ici.",https://anticiperlesjeux.gouv.fr/faq
Les aéroports parisiens seront-ils impactés ?,"Durant toutes la période des Jeux Olympiques et Jeux Paralympiques, les aéroports parisiens seront très impactés et particulièrement les journées du 26 juillet (cérémonie d'ouverture) et les 10, 11, 12 août (départs massifs fin des Jeux Olympiques). Vous pourrez accéder à l'aéroport Roissy-CDG depuis Paris en transports en commun par le RER B. Cependant, ce dernier desservant les sites olympiques de Saint Denis, nous vous recommandons de consulter en amont l'application Ile-de-France Mobilités fin avril pour trouver l'itinéraire le plus adapté depuis votre point de départ. En voiture, les voies olympiques pourront avoir un impact sur votre parcours. A noter que les voies réservées seront activées à partir du 15 juillet, elles représentent une seule voie, les deux autres sont autorisées à tous les véhicules. Les taxis sont, quant à eux, autorisés à emprunter les voies olympiques. Pour rejoindre directement Orly en transports en commun depuis Paris, la ligne 14 prolongée sera mise en service en juin 2024, le RER B dessert également cet aéroport. Pour Orly, aucune voie réservée n'est mise en place. En voiture comme en transports en commun, nous vous conseillons vivement de prendre une marge supplémentaire afin d'arriver sereinement à destination.Pour tout ce qui concerne plus directement les opérations aéroportuaires, le Groupe ADP se prépare pour cette période exceptionnelle, avec l'ensemble de la communauté aéroportuaire, en renforçant ses dispositifs, à commencer par l'accueil et l'orientation de tous les publics. Vous pouvez consulter le site d'Aéroport de Paris pour plus de précisions, cliquez ici.Restez informé grâce à nos alertes infos : je m'inscris.",https://anticiperlesjeux.gouv.fr/faq
